Título_Inmueble,Dirección_Inmueble,Latitud,Longitud,Rubro,Nombre,Dirección,Lugar_Place_ID
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,Santiago,Santiago,ChIJL68lBEHFYpYRMQkPQDzVdYQ
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,ABB S A,Santiago,ChIJgSn_DF7FYpYRi6yJ7bU-oFo
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,Vivienda Chile,"San Eugenio 1401, oficina 314, Ñuñoa, Ñuñoa",ChIJn-mJeQ_FYpYRLHBowLRtUPE
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,URBANA.CORP,"Lo Encalada 1141, Ñuñoa, Ñuñoa",ChIJH8RQbGDFYpYRHKZwUrEGt5w
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,Talleres San Eugenio Linea 5 Metro de Santiago,"1045, San Eugenio 875, Ñuñoa",ChIJjwiu6WDFYpYRcdZAc892nWk
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,San Eugenio Park,"Lo Encalada 1211, Dpto 23 Block 8, Ñuñoa, Ñuñoa",ChIJc8Cg7jrFYpYRD8ctah68PtA
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,"Ingenieria Y Servicios Industriales, Mauricio Esteban Donoso Matus Empresa Indi","San Eugenio 1209, Ñuñoa, Ñuñoa",ChIJ69MZzV_FYpYR6JP0GG8MhSk
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,Edficio Lo Encalada 1219,"Lo Encalada 1207-1285, Ñuñoa, Ñuñoa",ChIJcemH2F_FYpYRJS5tYaVNd80
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,Naka house!!,"San Eugenio 1209, Ñuñoa, Ñuñoa",ChIJK4q-vZrFYpYRoGdnjSf97oc
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,Consorcio Periodistico de Chile S.A.Copesa,"San Eugenio 1371, Ñuñoa, Santiago",ChIJ515iyV_FYpYRSt3S5UFaXME
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,Aparcadero de vehículos municipales,"San Eugenio 1221, Ñuñoa",ChIJQ37KozfFYpYRz3usg61CsMw
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,Estacionamiento visitas Neohaus,"San Eugenio 1111, Ñuñoa",ChIJ209DCgDFYpYRiSF06qjGg14
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,Kiosco Abarrotes y Confites,"Lo Encalada 1241, Ñuñoa, Ñuñoa",ChIJ1xST4F_FYpYRsd2_gkJzRxg
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,"Electric Noise "" Reparación de Amplificadores ""","Lo Encalada 1263, Ñuñoa",ChIJk_deCpLFYpYRBx0FIZjG7_U
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,1,"Lo Encalada 1263, Ñuñoa",ChIJyerR_0jFYpYREvULgUL2pTc
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,L&C Energia Solar,"Lo Encalada 1263, Ñuñoa, Ñuñoa",ChIJoTfdHynFYpYRRzsyicyAAEE
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,Ola Brasil Food,"Lo Encalada 1263, Ñuñoa, Ñuñoa",ChIJvVe7Ot_FYpYRzAlBp8iLziY
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,D-Bebes,"San Eugenio 1209, Santiago",ChIJd1FY8wHFYpYRGZurCi3AFCY
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,MINI MARKET Y RESTAURANTE KING BROTHERS,"San Eugenio 1209, Ñuñoa",ChIJP54aWGHFYpYRSlpGoeiDK04
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,restaurante,Ñuñoa,Ñuñoa,ChIJ6TZN_JTPYpYRRVH-3xZvjZU
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,supermercado,Santiago,Santiago,ChIJL68lBEHFYpYRMQkPQDzVdYQ
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,supermercado,ABB S A,Santiago,ChIJgSn_DF7FYpYRi6yJ7bU-oFo
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,supermercado,Vivienda Chile,"San Eugenio 1401, oficina 314, Ñuñoa, Ñuñoa",ChIJn-mJeQ_FYpYRLHBowLRtUPE
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,supermercado,URBANA.CORP,"Lo Encalada 1141, Ñuñoa, Ñuñoa",ChIJH8RQbGDFYpYRHKZwUrEGt5w
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,supermercado,Talleres San Eugenio Linea 5 Metro de Santiago,"1045, San Eugenio 875, Ñuñoa",ChIJjwiu6WDFYpYRcdZAc892nWk
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,supermercado,San Eugenio Park,"Lo Encalada 1211, Dpto 23 Block 8, Ñuñoa, Ñuñoa",ChIJc8Cg7jrFYpYRD8ctah68PtA
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,supermercado,"Ingenieria Y Servicios Industriales, Mauricio Esteban Donoso Matus Empresa Indi","San Eugenio 1209, Ñuñoa, Ñuñoa",ChIJ69MZzV_FYpYR6JP0GG8MhSk
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,supermercado,Edficio Lo Encalada 1219,"Lo Encalada 1207-1285, Ñuñoa, Ñuñoa",ChIJcemH2F_FYpYRJS5tYaVNd80
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,"San Eugenio 401, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",-33.4637003,-70.62396009999999,supermercado,Naka house!!,"San Eugenio 1209, Ñuñoa, Ñuñoa",ChIJK4q-vZrFYpYRoGdnjSf97oc
